"1-4 min","1-4 min",2019-12-17 08:04:33
"3-7 min","1-4 min",2019-12-17 08:17:27
"3-7 min","3-7 min",2019-12-17 08:23:45
"4-8 min","3-7 min",2019-12-17 08:28:58
"5-9 min","1-4 min",2019-12-17 08:31:20
"5-9 min","3-7 min",2019-12-17 08:37:09
"6-10 min","3-7 min",2019-12-17 08:43:41
"5-9 min","3-7 min",2019-12-17 08:45:53
"4-8 min","5-9 min",2019-12-17 08:52:02
"3-7 min","3-7 min",2019-12-17 08:56:47
"1-4 min","2-6 min",2019-12-17 09:01:08
"3-7 min","2-6 min",2019-12-17 09:05:51
"1-4 min","2-6 min",2019-12-17 09:11:47
"1-4 min","1-4 min",2019-12-17 09:26:42
"3-7 min","1-4 min",2019-12-17 09:33:31
"1-4 min","1-4 min",2019-12-17 09:39:56
"3-7 min","1-4 min",2019-12-17 09:42:25
"4-8 min","1-4 min",2019-12-17 09:49:31
"3-7 min","1-4 min",2019-12-17 09:55:05
"2-6 min","1-4 min",2019-12-17 10:03:26
"3-7 min","1-4 min",2019-12-17 10:09:29
"4-8 min","2-6 min",2019-12-17 10:14:05
"3-7 min","1-4 min",2019-12-17 10:19:27
"2-6 min","1-4 min",2019-12-17 10:21:52
"4-8 min","1-4 min",2019-12-17 10:28:15
"3-7 min","1-4 min",2019-12-17 10:39:29
"4-8 min","2-6 min",2019-12-17 10:42:59
"4-8 min","1-4 min",2019-12-17 10:46:10
"8-12 min","1-4 min",2019-12-17 10:54:31
"8-12 min","2-6 min",2019-12-17 10:57:01
"8-12 min","3-7 min",2019-12-17 11:00:44
"8-12 min","1-4 min",2019-12-17 11:09:13
"5-9 min","1-4 min",2019-12-17 11:11:29
"3-7 min","3-7 min",2019-12-17 11:16:52
"4-8 min","2-6 min",2019-12-17 11:23:08
"3-7 min","2-6 min",2019-12-17 11:26:28
"1-4 min","1-4 min",2019-12-17 11:34:26
"3-7 min","1-4 min",2019-12-17 11:35:44
"6-10 min","1-4 min",2019-12-17 11:40:39
"5-9 min","3-7 min",2019-12-17 11:46:48
"5-9 min","1-4 min",2019-12-17 11:50:53
"11-15 min","1-4 min",2019-12-17 12:02:00
"6-10 min","1-4 min",2019-12-17 12:07:12
"5-9 min","3-7 min",2019-12-17 12:13:01
"4-8 min","3-7 min",2019-12-17 12:16:25
"5-9 min","3-7 min",2019-12-17 12:24:46
"5-9 min","1-4 min",2019-12-17 12:28:53
"4-8 min","1-4 min",2019-12-17 12:30:14
"13-17 min","3-7 min",2019-12-17 12:36:31
"14-18 min","1-4 min",2019-12-17 12:40:12
"13-17 min","3-7 min",2019-12-17 12:46:34
"11-15 min","1-4 min",2019-12-17 12:50:10
"17-21 min","3-7 min",2019-12-17 12:55:23
"16-20 min","3-7 min",2019-12-17 13:00:17
"18-22 min","1-4 min",2019-12-17 13:06:18
"11-15 min","1-4 min",2019-12-17 13:13:46
"14-18 min","1-4 min",2019-12-17 13:18:20
"15-19 min","1-4 min",2019-12-17 13:24:39
"18-22 min","1-4 min",2019-12-17 13:28:52
"16-20 min","1-4 min",2019-12-17 13:37:45
"19-23 min","1-4 min",2019-12-17 13:40:54
"16-20 min","1-4 min",2019-12-17 13:46:06
"13-17 min","1-4 min",2019-12-17 14:02:28
"14-18 min","1-4 min",2019-12-17 14:07:57
"12-16 min","2-6 min",2019-12-17 14:13:06
"6-10 min","1-4 min",2019-12-17 14:15:45
"5-9 min","3-7 min",2019-12-17 14:20:49
"11-15 min","1-4 min",2019-12-17 14:29:49
"6-10 min","1-4 min",2019-12-17 14:32:00
"4-8 min","1-4 min",2019-12-17 14:48:47
"5-9 min","1-4 min",2019-12-17 14:56:02
"5-9 min","1-5 min",2019-12-17 15:02:30
"5-9 min","1-4 min",2019-12-17 15:05:37
"4-8 min","1-4 min",2019-12-17 15:19:58
"3-7 min","1-4 min",2019-12-17 15:20:12
"5-9 min","2-6 min",2019-12-17 15:25:19
"5-9 min","3-7 min",2019-12-17 15:36:59
"4-8 min","3-7 min",2019-12-17 15:40:09
"5-9 min","1-4 min",2019-12-17 15:47:49
"4-8 min","1-4 min",2019-12-17 15:50:52
"5-9 min","1-4 min",2019-12-17 15:55:31
"4-8 min","3-7 min",2019-12-17 16:02:04
"4-8 min","1-4 min",2019-12-17 16:05:19
"5-9 min","1-4 min",2019-12-17 16:15:02
"12-16 min","1-4 min",2019-12-17 16:16:04
"3-7 min","1-4 min",2019-12-17 16:24:45
"3-7 min","3-7 min",2019-12-17 16:39:45
"3-7 min","4-8 min",2019-12-17 16:40:44
"2-6 min","5-9 min",2019-12-17 16:46:32
"3-7 min","6-10 min",2019-12-17 16:51:26
"2-6 min","5-9 min",2019-12-17 16:58:20
"2-6 min","7-11 min",2019-12-17 17:00:42
"10-14 min","1-4 min",2019-12-17 17:07:08
"14-18 min","3-7 min",2019-12-17 17:11:36
"5-9 min","1-4 min",2019-12-17 17:15:29
"6-10 min","1-4 min",2019-12-17 17:24:27
"5-9 min","1-4 min",2019-12-17 17:31:52
"6-10 min","1-4 min",2019-12-17 17:48:10
"4-8 min","1-4 min",2019-12-17 17:53:12
"1-4 min","1-4 min",2019-12-17 17:55:50
"4-8 min","1-4 min",2019-12-17 18:00:22
"3-7 min","1-4 min",2019-12-17 18:07:59
"1-4 min","1-4 min",2019-12-17 18:11:07
"1-5 min","1-4 min",2019-12-17 18:15:26
"2-6 min","3-7 min",2019-12-17 18:21:08
"1-4 min","1-4 min",2019-12-17 18:25:46
"3-7 min","1-4 min",2019-12-17 18:31:27
"1-4 min","1-4 min",2019-12-17 18:39:50
"4-8 min","1-4 min",2019-12-17 18:48:36
"2-6 min","1-4 min",2019-12-17 18:52:22
"1-4 min","1-4 min",2019-12-17 18:59:37
"2-6 min","1-4 min",2019-12-17 19:07:16
"1-4 min","1-4 min",2019-12-17 19:14:22
"4-8 min","1-4 min",2019-12-18 04:32:38
"3-7 min","1-4 min",2019-12-18 04:38:28
"2-6 min","1-5 min",2019-12-18 04:49:45
"3-7 min","1-4 min",2019-12-18 04:54:22
"3-7 min","3-7 min",2019-12-18 04:55:38
"3-7 min","1-4 min",2019-12-18 05:00:12
"3-7 min","2-6 min",2019-12-18 05:07:29
"4-8 min","2-6 min",2019-12-18 05:11:23
"13-17 min","1-4 min",2019-12-18 05:22:08
"12-16 min","3-7 min",2019-12-18 05:27:45
"12-16 min","2-6 min",2019-12-18 05:33:29
"19-23 min","4-8 min",2019-12-18 05:39:44
